id,title,price,currency,regular_price,discount_percent,brand,url,image,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size,sku,description
88687,Pc Portable Gamer ASUS V16 V3607VJ / Intel Core 5 210H / RTX 3050 6G / 8 Go DDR5 / 512 Go SSD / Windows 11 Pro / Noir,2399.0,TND,2709.0,11.44,,https://www.tunisianet.com.tn/pc-portable-tunisie/88687-pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-8-go-ddr5-512-go-ssd-windows-11-pro-noir.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.137038,,RTX 3050 6G,8.0,8 Go SSD,,,
79815,Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 2050 4G / 24 Go / 512 Go SSD / Gris Cosmos Sac à dos MSI Offert,2405.0,TND,2615.0,8.03,,https://www.tunisianet.com.tn/pc-portable-tunisie/79815-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-24-go-512-go-ssd-gris-cosmos-sac-a-dos-msi-offert-.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.140070,i5-13420H,RTX 2050 4G,24.0,24 Go SSD,,,
81108,Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 8 Go / 512 Go SSD / Windows 11 Pro / Gris Cosmos,2405.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/81108-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-8-go-512-go-ssd-windows-11-pro-gris-cosmos-.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.144071,i7-13620H,RTX 2050 4G,8.0,8 Go SSD,,,
88379,"PC Portable Gamer ASUS Vivobook 16X I5-13420H 16GB 512SSD RTX30504GO W11 16"" WUXGA BLACK + SAC A DOS",2409.0,TND,2559.0,5.86,,https://www.tunisianet.com.tn/pc-portable-tunisie/88379-pc-portable-gamer-asus-vivobook-16x-i5-13420h-16gb-512ssd-rtx30504go-w11-16-wuxga-black-sac-a-dos.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.146075,I5-13420H,,30504.0,30504 GO SSD,"16""",,
88380,"PC Portable Gamer ASUS Vivobook 16X I5-13420H 16GB 512SSD RTX30504GO W11 16"" WUXGA SILVER + SAC A DOS",2409.0,TND,2559.0,5.86,,https://www.tunisianet.com.tn/pc-portable-tunisie/88380-pc-portable-gamer-asus-vivobook-16x-i5-13420h-16gb-512ssd-rtx30504go-w11-16-wuxga-silver-sac-a-dos.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.149071,I5-13420H,,30504.0,30504 GO SSD,"16""",,
91270,Pc Portable Gamer HP Victus Gaming 15-fb3008nk / Ryzen 5 8645HS / 8 Go DDR5 / 512 Go SSD / Windows 11 / Noir,2419.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/91270-pc-portable-gamer-hp-victus-gaming-15-fb3008nk-ryzen-5-8645hs-8-go-ddr5-512-go-ssd-windows-11-noir.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.152078,,,8.0,8 Go SSD,,,
90219,PC Portable Gamer HP Victus Gaming Laptop 15-fa1006nk / i5-13420H / 24 Go / 512 Go SSD / Windows 11 / Bleu,2439.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/90219-pc-portable-gamer-hp-victus-gaming-laptop-15-fa1006nk-i5-13420h-24-go-512-go-ssd-windows-11-bleu.html,,False,tunisianet,Tunisia,2026-01-02T16:31:25.108727,i5-13420H,,24.0,24 Go SSD,,,
82171,PC Portable Gamer HP Victus Gaming Laptop 15-fa1006nk / i5-13420H / 24 Go / 512 Go SSD / Windows 11 / Bleu,2439.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/82171-pc-portable-gamer-hp-victus-gaming-laptop-15-fa1006nk-i5-13420h-24-go-512-go-ssd-windows-11-bleu-.html,,False,tunisianet,Tunisia,2026-01-02T16:31:25.110729,i5-13420H,,24.0,24 Go SSD,,,
85946,Pc Portable Gamer ASUS V16 V3607VJ / Intel Core 5 210H / RTX 3050 6G / 8 Go DDR5 / 512 Go SSD / Windows 11 Pro / Noir,2439.0,TND,2749.0,11.28,,https://www.tunisianet.com.tn/pc-portable-tunisie/85946-pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-8-go-ddr5-512-go-ssd-windows-11-pro-noir.html,,False,tunisianet,Tunisia,2026-01-02T16:31:25.113732,,RTX 3050 6G,8.0,8 Go SSD,,,
89140,Pc Portable ASUS Vivobook S14 S3407QA / Snapdragon X X1 26 100 / 16 Go / 1 To SSD / Windows 11 / Copilot+ / Silver,2449.0,TND,2519.0,2.78,,https://www.tunisianet.com.tn/pc-portable-tunisie/89140-pc-portable-asus-vivobook-s14-s3407qa-snapdragon-x-x1-26-100-16-go-1-to-ssd-windows-11-copilot-silver.html,,False,tunisianet,Tunisia,2026-01-02T16:31:25.116733,,,16.0,16 Go SSD,,,
